"region","år","arbetsställets sektortillhörighet","ålder",Förvärvsarbetande 16+ år med bostad i regionen (nattbefolkning) (RAMS)
"2409 Robertsfors","2013","kommunalt ägda företag och organisationer","60-64 år",3
"2409 Robertsfors","2013","kommunalt ägda företag och organisationer","65+ år",3
"2409 Robertsfors","2014","primärkommunal förvaltning","55-59 år",135
"2409 Robertsfors","2014","primärkommunal förvaltning","60-64 år",111
"2409 Robertsfors","2014","primärkommunal förvaltning","65+ år",40
"2409 Robertsfors","2014","kommunalt ägda företag och organisationer","55-59 år",8
"2409 Robertsfors","2014","kommunalt ägda företag och organisationer","60-64 år",3
"2409 Robertsfors","2014","kommunalt ägda företag och organisationer","65+ år",3
"2409 Robertsfors","2015","primärkommunal förvaltning","55-59 år",134
"2409 Robertsfors","2015","primärkommunal förvaltning","60-64 år",118
"2409 Robertsfors","2015","primärkommunal förvaltning","65+ år",40
"2409 Robertsfors","2015","kommunalt ägda företag och organisationer","55-59 år",8
"2409 Robertsfors","2015","kommunalt ägda företag och organisationer","60-64 år",4
"2409 Robertsfors","2015","kommunalt ägda företag och organisationer","65+ år",2
"2409 Robertsfors","2016","primärkommunal förvaltning","55-59 år",133
"2409 Robertsfors","2016","primärkommunal förvaltning","60-64 år",120
"2409 Robertsfors","2016","primärkommunal förvaltning","65+ år",48
"2409 Robertsfors","2016","kommunalt ägda företag och organisationer","55-59 år",9
"2409 Robertsfors","2016","kommunalt ägda företag och organisationer","60-64 år",4
"2409 Robertsfors","2016","kommunalt ägda företag och organisationer","65+ år",2
"2409 Robertsfors","2017","primärkommunal förvaltning","55-59 år",123
"2409 Robertsfors","2017","primärkommunal förvaltning","60-64 år",134
"2409 Robertsfors","2017","primärkommunal förvaltning","65+ år",55
"2409 Robertsfors","2017","kommunalt ägda företag och organisationer","55-59 år",7
"2409 Robertsfors","2017","kommunalt ägda företag och organisationer","60-64 år",5
"2409 Robertsfors","2017","kommunalt ägda företag och organisationer","65+ år",3
"2417 Norsjö","2008","primärkommunal förvaltning","55-59 år",76
"2417 Norsjö","2008","primärkommunal förvaltning","60-64 år",67
"2417 Norsjö","2008","primärkommunal förvaltning","65+ år",9
"2417 Norsjö","2008","kommunalt ägda företag och organisationer","55-59 år",6
"2417 Norsjö","2008","kommunalt ägda företag och organisationer","60-64 år",3
"2417 Norsjö","2008","kommunalt ägda företag och organisationer","65+ år",2
"2417 Norsjö","2009","primärkommunal förvaltning","55-59 år",86
"2417 Norsjö","2009","primärkommunal förvaltning","60-64 år",60
"2417 Norsjö","2009","primärkommunal förvaltning","65+ år",14
"2417 Norsjö","2009","kommunalt ägda företag och organisationer","55-59 år",8
"2417 Norsjö","2009","kommunalt ägda företag och organisationer","60-64 år",2
"2417 Norsjö","2009","kommunalt ägda företag och organisationer","65+ år",2
"2417 Norsjö","2010","primärkommunal förvaltning","55-59 år",83
"2417 Norsjö","2010","primärkommunal förvaltning","60-64 år",68
"2417 Norsjö","2010","primärkommunal förvaltning","65+ år",13
"2417 Norsjö","2010","kommunalt ägda företag och organisationer","55-59 år",10
"2417 Norsjö","2010","kommunalt ägda företag och organisationer","60-64 år",3
"2417 Norsjö","2010","kommunalt ägda företag och organisationer","65+ år",0
"2417 Norsjö","2011","primärkommunal förvaltning","55-59 år",81
"2417 Norsjö","2011","primärkommunal förvaltning","60-64 år",68
"2417 Norsjö","2011","primärkommunal förvaltning","65+ år",18
"2417 Norsjö","2011","kommunalt ägda företag och organisationer","55-59 år",10
"2417 Norsjö","2011","kommunalt ägda företag och organisationer","60-64 år",3
"2417 Norsjö","2011","kommunalt ägda företag och organisationer","65+ år",1
"2417 Norsjö","2012","primärkommunal förvaltning","55-59 år",84
"2417 Norsjö","2012","primärkommunal förvaltning","60-64 år",65
"2417 Norsjö","2012","primärkommunal förvaltning","65+ år",18
"2417 Norsjö","2012","kommunalt ägda företag och organisationer","55-59 år",8
"2417 Norsjö","2012","kommunalt ägda företag och organisationer","60-64 år",3
"2417 Norsjö","2012","kommunalt ägda företag och organisationer","65+ år",1
"2417 Norsjö","2013","primärkommunal förvaltning","55-59 år",81
"2417 Norsjö","2013","primärkommunal förvaltning","60-64 år",73
"2417 Norsjö","2013","primärkommunal förvaltning","65+ år",18
"2417 Norsjö","2013","kommunalt ägda företag och organisationer","55-59 år",11
"2417 Norsjö","2013","kommunalt ägda företag och organisationer","60-64 år",4
"2417 Norsjö","2013","kommunalt ägda företag och organisationer","65+ år",1
"2417 Norsjö","2014","primärkommunal förvaltning","55-59 år",78
"2417 Norsjö","2014","primärkommunal förvaltning","60-64 år",79
"2417 Norsjö","2014","primärkommunal förvaltning","65+ år",21
"2417 Norsjö","2014","kommunalt ägda företag och organisationer","55-59 år",10
"2417 Norsjö","2014","kommunalt ägda företag och organisationer","60-64 år",5
"2417 Norsjö","2014","kommunalt ägda företag och organisationer","65+ år",1
"2417 Norsjö","2015","primärkommunal förvaltning","55-59 år",62
"2417 Norsjö","2015","primärkommunal förvaltning","60-64 år",72
"2417 Norsjö","2015","primärkommunal förvaltning","65+ år",28
"2417 Norsjö","2015","kommunalt ägda företag och organisationer","55-59 år",7
"2417 Norsjö","2015","kommunalt ägda företag och organisationer","60-64 år",11
"2417 Norsjö","2015","kommunalt ägda företag och organisationer","65+ år",0
"2417 Norsjö","2016","primärkommunal förvaltning","55-59 år",68
"2417 Norsjö","2016","primärkommunal förvaltning","60-64 år",70
"2417 Norsjö","2016","primärkommunal förvaltning","65+ år",25
"2417 Norsjö","2016","kommunalt ägda företag och organisationer","55-59 år",7
"2417 Norsjö","2016","kommunalt ägda företag och organisationer","60-64 år",11
"2417 Norsjö","2016","kommunalt ägda företag och organisationer","65+ år",0
"2417 Norsjö","2017","primärkommunal förvaltning","55-59 år",57
"2417 Norsjö","2017","primärkommunal förvaltning","60-64 år",69
"2417 Norsjö","2017","primärkommunal förvaltning","65+ år",36
"2417 Norsjö","2017","kommunalt ägda företag och organisationer","55-59 år",8
"2417 Norsjö","2017","kommunalt ägda företag och organisationer","60-64 år",9
"2417 Norsjö","2017","kommunalt ägda företag och organisationer","65+ år",0
"2418 Malå","2008","primärkommunal förvaltning","55-59 år",52
"2418 Malå","2008","primärkommunal förvaltning","60-64 år",44
"2418 Malå","2008","primärkommunal förvaltning","65+ år",4
"2418 Malå","2008","kommunalt ägda företag och organisationer","55-59 år",3
"2418 Malå","2008","kommunalt ägda företag och organisationer","60-64 år",5
"2418 Malå","2008","kommunalt ägda företag och organisationer","65+ år",0
"2418 Malå","2009","primärkommunal förvaltning","55-59 år",60
"2418 Malå","2009","primärkommunal förvaltning","60-64 år",37
"2418 Malå","2009","primärkommunal förvaltning","65+ år",8
"2418 Malå","2009","kommunalt ägda företag och organisationer","55-59 år",3
"2418 Malå","2009","kommunalt ägda företag och organisationer","60-64 år",4
"2418 Malå","2009","kommunalt ägda företag och organisationer","65+ år",1
"2418 Malå","2010","primärkommunal förvaltning","55-59 år",62
"2418 Malå","2010","primärkommunal förvaltning","60-64 år",42
"2418 Malå","2010","primärkommunal förvaltning","65+ år",11
"2418 Malå","2010","kommunalt ägda företag och organisationer","55-59 år",3
"2418 Malå","2010","kommunalt ägda företag och organisationer","60-64 år",4
"2418 Malå","2010","kommunalt ägda företag och organisationer","65+ år",0
"2418 Malå","2011","primärkommunal förvaltning","55-59 år",65
"2418 Malå","2011","primärkommunal förvaltning","60-64 år",39
"2418 Malå","2011","primärkommunal förvaltning","65+ år",11
"2418 Malå","2011","kommunalt ägda företag och organisationer","55-59 år",2
"2418 Malå","2011","kommunalt ägda företag och organisationer","60-64 år",5
"2418 Malå","2011","kommunalt ägda företag och organisationer","65+ år",0
"2418 Malå","2012","primärkommunal förvaltning","55-59 år",62
"2418 Malå","2012","primärkommunal förvaltning","60-64 år",45
"2418 Malå","2012","primärkommunal förvaltning","65+ år",6
"2418 Malå","2012","kommunalt ägda företag och organisationer","55-59 år",2
"2418 Malå","2012","kommunalt ägda företag och organisationer","60-64 år",3
"2418 Malå","2012","kommunalt ägda företag och organisationer","65+ år",1
"2418 Malå","2013","primärkommunal förvaltning","55-59 år",63
"2418 Malå","2013","primärkommunal förvaltning","60-64 år",47
"2418 Malå","2013","primärkommunal förvaltning","65+ år",8
"2418 Malå","2013","kommunalt ägda företag och organisationer","55-59 år",1
"2418 Malå","2013","kommunalt ägda företag och organisationer","60-64 år",2
"2418 Malå","2013","kommunalt ägda företag och organisationer","65+ år",4
"2418 Malå","2014","primärkommunal förvaltning","55-59 år",59
"2418 Malå","2014","primärkommunal förvaltning","60-64 år",58
"2418 Malå","2014","primärkommunal förvaltning","65+ år",11
"2418 Malå","2014","kommunalt ägda företag och organisationer","55-59 år",2
"2418 Malå","2014","kommunalt ägda företag och organisationer","60-64 år",2
"2418 Malå","2014","kommunalt ägda företag och organisationer","65+ år",2
"2418 Malå","2015","primärkommunal förvaltning","55-59 år",60
"2418 Malå","2015","primärkommunal förvaltning","60-64 år",64
"2418 Malå","2015","primärkommunal förvaltning","65+ år",17
"2418 Malå","2015","kommunalt ägda företag och organisationer","55-59 år",2
"2418 Malå","2015","kommunalt ägda företag och organisationer","60-64 år",3
"2418 Malå","2015","kommunalt ägda företag och organisationer","65+ år",1
"2418 Malå","2016","primärkommunal förvaltning","55-59 år",69
"2418 Malå","2016","primärkommunal förvaltning","60-64 år",58
"2418 Malå","2016","primärkommunal förvaltning","65+ år",15
"2418 Malå","2016","kommunalt ägda företag och organisationer","55-59 år",3
"2418 Malå","2016","kommunalt ägda företag och organisationer","60-64 år",4
"2418 Malå","2016","kommunalt ägda företag och organisationer","65+ år",1
"2418 Malå","2017","primärkommunal förvaltning","55-59 år",73
"2418 Malå","2017","primärkommunal förvaltning","60-64 år",55
"2418 Malå","2017","primärkommunal förvaltning","65+ år",18
"2418 Malå","2017","kommunalt ägda företag och organisationer","55-59 år",3
"2418 Malå","2017","kommunalt ägda företag och organisationer","60-64 år",3
"2418 Malå","2017","kommunalt ägda företag och organisationer","65+ år",2
"2421 Storuman","2008","primärkommunal förvaltning","55-59 år",104
"2421 Storuman","2008","primärkommunal förvaltning","60-64 år",75
"2421 Storuman","2008","primärkommunal förvaltning","65+ år",19
"2421 Storuman","2008","kommunalt ägda företag och organisationer","55-59 år",16
"2421 Storuman","2008","kommunalt ägda företag och organisationer","60-64 år",11
"2421 Storuman","2008","kommunalt ägda företag och organisationer","65+ år",4
"2421 Storuman","2009","primärkommunal förvaltning","55-59 år",116
"2421 Storuman","2009","primärkommunal förvaltning","60-64 år",62
"2421 Storuman","2009","primärkommunal förvaltning","65+ år",22
"2421 Storuman","2009","kommunalt ägda företag och organisationer","55-59 år",14
"2421 Storuman","2009","kommunalt ägda företag och organisationer","60-64 år",12
"2421 Storuman","2009","kommunalt ägda företag och organisationer","65+ år",6
"2421 Storuman","2010","primärkommunal förvaltning","55-59 år",109
"2421 Storuman","2010","primärkommunal förvaltning","60-64 år",72
"2421 Storuman","2010","primärkommunal förvaltning","65+ år",23
"2421 Storuman","2010","kommunalt ägda företag och organisationer","55-59 år",14
"2421 Storuman","2010","kommunalt ägda företag och organisationer","60-64 år",9
"2421 Storuman","2010","kommunalt ägda företag och organisationer","65+ år",7
"2421 Storuman","2011","primärkommunal förvaltning","55-59 år",102
"2421 Storuman","2011","primärkommunal förvaltning","60-64 år",89
"2421 Storuman","2011","primärkommunal förvaltning","65+ år",20
"2421 Storuman","2011","kommunalt ägda företag och organisationer","55-59 år",17
"2421 Storuman","2011","kommunalt ägda företag och organisationer","60-64 år",7
"2421 Storuman","2011","kommunalt ägda företag och organisationer","65+ år",1
"2421 Storuman","2012","primärkommunal förvaltning","55-59 år",102
"2421 Storuman","2012","primärkommunal förvaltning","60-64 år",98
"2421 Storuman","2012","primärkommunal förvaltning","65+ år",20
"2421 Storuman","2012","kommunalt ägda företag och organisationer","55-59 år",13
"2421 Storuman","2012","kommunalt ägda företag och organisationer","60-64 år",12
"2421 Storuman","2012","kommunalt ägda företag och organisationer","65+ år",2
"2421 Storuman","2013","primärkommunal förvaltning","55-59 år",105
"2421 Storuman","2013","primärkommunal förvaltning","60-64 år",99
"2421 Storuman","2013","primärkommunal förvaltning","65+ år",26
"2421 Storuman","2013","kommunalt ägda företag och organisationer","55-59 år",14
"2421 Storuman","2013","kommunalt ägda företag och organisationer","60-64 år",16
"2421 Storuman","2013","kommunalt ägda företag och organisationer","65+ år",6
"2421 Storuman","2014","primärkommunal förvaltning","55-59 år",101
"2421 Storuman","2014","primärkommunal förvaltning","60-64 år",105
"2421 Storuman","2014","primärkommunal förvaltning","65+ år",24
"2421 Storuman","2014","kommunalt ägda företag och organisationer","55-59 år",21
"2421 Storuman","2014","kommunalt ägda företag och organisationer","60-64 år",12
"2421 Storuman","2014","kommunalt ägda företag och organisationer","65+ år",2
"2421 Storuman","2015","primärkommunal förvaltning","55-59 år",110
"2421 Storuman","2015","primärkommunal förvaltning","60-64 år",81
"2421 Storuman","2015","primärkommunal förvaltning","65+ år",31
"2421 Storuman","2015","kommunalt ägda företag och organisationer","55-59 år",16
"2421 Storuman","2015","kommunalt ägda företag och organisationer","60-64 år",16
"2421 Storuman","2015","kommunalt ägda företag och organisationer","65+ år",3
"2421 Storuman","2016","primärkommunal förvaltning","55-59 år",100
"2421 Storuman","2016","primärkommunal förvaltning","60-64 år",99
"2421 Storuman","2016","primärkommunal förvaltning","65+ år",34
"2421 Storuman","2016","kommunalt ägda företag och organisationer","55-59 år",21
"2421 Storuman","2016","kommunalt ägda företag och organisationer","60-64 år",11
"2421 Storuman","2016","kommunalt ägda företag och organisationer","65+ år",2
"2421 Storuman","2017","primärkommunal förvaltning","55-59 år",96
"2421 Storuman","2017","primärkommunal förvaltning","60-64 år",95
"2421 Storuman","2017","primärkommunal förvaltning","65+ år",39
"2421 Storuman","2017","kommunalt ägda företag och organisationer","55-59 år",20
"2421 Storuman","2017","kommunalt ägda företag och organisationer","60-64 år",12
"2421 Storuman","2017","kommunalt ägda företag och organisationer","65+ år",4
"2422 Sorsele","2008","primärkommunal förvaltning","55-59 år",67
"2422 Sorsele","2008","primärkommunal förvaltning","60-64 år",44
"2422 Sorsele","2008","primärkommunal förvaltning","65+ år",8
"2422 Sorsele","2008","kommunalt ägda företag och organisationer","55-59 år",0
"2422 Sorsele","2008","kommunalt ägda företag och organisationer","60-64 år",2
"2422 Sorsele","2008","kommunalt ägda företag och organisationer","65+ år",0
"2422 Sorsele","2009","primärkommunal förvaltning","55-59 år",54
"2422 Sorsele","2009","primärkommunal förvaltning","60-64 år",47
"2422 Sorsele","2009","primärkommunal förvaltning","65+ år",7
"2422 Sorsele","2009","kommunalt ägda företag och organisationer","55-59 år",0
"2422 Sorsele","2009","kommunalt ägda företag och organisationer","60-64 år",2
"2422 Sorsele","2009","kommunalt ägda företag och organisationer","65+ år",0
"2422 Sorsele","2010","primärkommunal förvaltning","55-59 år",58
"2422 Sorsele","2010","primärkommunal förvaltning","60-64 år",50
"2422 Sorsele","2010","primärkommunal förvaltning","65+ år",11
"2422 Sorsele","2010","kommunalt ägda företag och organisationer","55-59 år",0
"2422 Sorsele","2010","kommunalt ägda företag och organisationer","60-64 år",1
"2422 Sorsele","2010","kommunalt ägda företag och organisationer","65+ år",1
"2422 Sorsele","2011","primärkommunal förvaltning","55-59 år",58
"2422 Sorsele","2011","primärkommunal förvaltning","60-64 år",57
"2422 Sorsele","2011","primärkommunal förvaltning","65+ år",9
"2422 Sorsele","2011","kommunalt ägda företag och organisationer","55-59 år",0
"2422 Sorsele","2011","kommunalt ägda företag och organisationer","60-64 år",1
"2422 Sorsele","2011","kommunalt ägda företag och organisationer","65+ år",0
"2422 Sorsele","2012","primärkommunal förvaltning","55-59 år",56
"2422 Sorsele","2012","primärkommunal förvaltning","60-64 år",52
"2422 Sorsele","2012","primärkommunal förvaltning","65+ år",12
"2422 Sorsele","2012","kommunalt ägda företag och organisationer","55-59 år",1
"2422 Sorsele","2012","kommunalt ägda företag och organisationer","60-64 år",1
"2422 Sorsele","2012","kommunalt ägda företag och organisationer","65+ år",0
"2422 Sorsele","2013","primärkommunal förvaltning","55-59 år",59
"2422 Sorsele","2013","primärkommunal förvaltning","60-64 år",52
"2422 Sorsele","2013","primärkommunal förvaltning","65+ år",12
"2422 Sorsele","2013","kommunalt ägda företag och organisationer","55-59 år",1
"2422 Sorsele","2013","kommunalt ägda företag och organisationer","60-64 år",0
"2422 Sorsele","2013","kommunalt ägda företag och organisationer","65+ år",1
"2422 Sorsele","2014","primärkommunal förvaltning","55-59 år",50
"2422 Sorsele","2014","primärkommunal förvaltning","60-64 år",51
"2422 Sorsele","2014","primärkommunal förvaltning","65+ år",16
"2422 Sorsele","2014","kommunalt ägda företag och organisationer","55-59 år",0
"2422 Sorsele","2014","kommunalt ägda företag och organisationer","60-64 år",0
"2422 Sorsele","2014","kommunalt ägda företag och organisationer","65+ år",0
"2422 Sorsele","2015","primärkommunal förvaltning","55-59 år",38
"2422 Sorsele","2015","primärkommunal förvaltning","60-64 år",48
"2422 Sorsele","2015","primärkommunal förvaltning","65+ år",20
"2422 Sorsele","2015","kommunalt ägda företag och organisationer","55-59 år",0
"2422 Sorsele","2015","kommunalt ägda företag och organisationer","60-64 år",0
"2422 Sorsele","2015","kommunalt ägda företag och organisationer","65+ år",1
"2422 Sorsele","2016","primärkommunal förvaltning","55-59 år",42
"2422 Sorsele","2016","primärkommunal förvaltning","60-64 år",52
"2422 Sorsele","2016","primärkommunal förvaltning","65+ år",16
"2422 Sorsele","2016","kommunalt ägda företag och organisationer","55-59 år",0
"2422 Sorsele","2016","kommunalt ägda företag och organisationer","60-64 år",0
"2422 Sorsele","2016","kommunalt ägda företag och organisationer","65+ år",2
"2422 Sorsele","2017","primärkommunal förvaltning","55-59 år",43
"2422 Sorsele","2017","primärkommunal förvaltning","60-64 år",50
"2422 Sorsele","2017","primärkommunal förvaltning","65+ år",18
"2422 Sorsele","2017","kommunalt ägda företag och organisationer","55-59 år",1
"2422 Sorsele","2017","kommunalt ägda företag och organisationer","60-64 år",0
"2422 Sorsele","2017","kommunalt ägda företag och organisationer","65+ år",2
"2425 Dorotea","2008","primärkommunal förvaltning","55-59 år",54
"2425 Dorotea","2008","primärkommunal förvaltning","60-64 år",48
"2425 Dorotea","2008","primärkommunal förvaltning","65+ år",6
"2425 Dorotea","2008","kommunalt ägda företag och organisationer","55-59 år",7
"2425 Dorotea","2008","kommunalt ägda företag och organisationer","60-64 år",3
"2425 Dorotea","2008","kommunalt ägda företag och organisationer","65+ år",0
"2425 Dorotea","2009","primärkommunal förvaltning","55-59 år",49
"2425 Dorotea","2009","primärkommunal förvaltning","60-64 år",42
"2425 Dorotea","2009","primärkommunal förvaltning","65+ år",9
"2425 Dorotea","2009","kommunalt ägda företag och organisationer","55-59 år",4
"2425 Dorotea","2009","kommunalt ägda företag och organisationer","60-64 år",5
"2425 Dorotea","2009","kommunalt ägda företag och organisationer","65+ år",1
"2425 Dorotea","2010","primärkommunal förvaltning","55-59 år",56
"2425 Dorotea","2010","primärkommunal förvaltning","60-64 år",46
"2425 Dorotea","2010","primärkommunal förvaltning","65+ år",7
"2425 Dorotea","2010","kommunalt ägda företag och organisationer","55-59 år",4
"2425 Dorotea","2010","kommunalt ägda företag och organisationer","60-64 år",3
"2425 Dorotea","2010","kommunalt ägda företag och organisationer","65+ år",1
"2425 Dorotea","2011","primärkommunal förvaltning","55-59 år",62
"2425 Dorotea","2011","primärkommunal förvaltning","60-64 år",47
"2425 Dorotea","2011","primärkommunal förvaltning","65+ år",9
"2425 Dorotea","2011","kommunalt ägda företag och organisationer","55-59 år",3
"2425 Dorotea","2011","kommunalt ägda företag och organisationer","60-64 år",4
"2425 Dorotea","2011","kommunalt ägda företag och organisationer","65+ år",1
"2425 Dorotea","2012","primärkommunal förvaltning","55-59 år",60
"2425 Dorotea","2012","primärkommunal förvaltning","60-64 år",52
"2425 Dorotea","2012","primärkommunal förvaltning","65+ år",18
"2425 Dorotea","2012","kommunalt ägda företag och organisationer","55-59 år",6
"2425 Dorotea","2012","kommunalt ägda företag och organisationer","60-64 år",4
"2425 Dorotea","2012","kommunalt ägda företag och organisationer","65+ år",0
"2425 Dorotea","2013","primärkommunal förvaltning","55-59 år",66
"2425 Dorotea","2013","primärkommunal förvaltning","60-64 år",53
"2425 Dorotea","2013","primärkommunal förvaltning","65+ år",16
"2425 Dorotea","2013","kommunalt ägda företag och organisationer","55-59 år",4
"2425 Dorotea","2013","kommunalt ägda företag och organisationer","60-64 år",5
"2425 Dorotea","2013","kommunalt ägda företag och organisationer","65+ år",0
"2425 Dorotea","2014","primärkommunal förvaltning","55-59 år",72
"2425 Dorotea","2014","primärkommunal förvaltning","60-64 år",48
"2425 Dorotea","2014","primärkommunal förvaltning","65+ år",15
"2425 Dorotea","2014","kommunalt ägda företag och organisationer","55-59 år",4
"2425 Dorotea","2014","kommunalt ägda företag och organisationer","60-64 år",4
"2425 Dorotea","2014","kommunalt ägda företag och organisationer","65+ år",1
"2425 Dorotea","2015","primärkommunal förvaltning","55-59 år",63
"2425 Dorotea","2015","primärkommunal förvaltning","60-64 år",49
"2425 Dorotea","2015","primärkommunal förvaltning","65+ år",21
"2425 Dorotea","2015","kommunalt ägda företag och organisationer","55-59 år",2
"2425 Dorotea","2015","kommunalt ägda företag och organisationer","60-64 år",4
"2425 Dorotea","2015","kommunalt ägda företag och organisationer","65+ år",0
"2425 Dorotea","2016","primärkommunal förvaltning","55-59 år",57
"2425 Dorotea","2016","primärkommunal förvaltning","60-64 år",54
"2425 Dorotea","2016","primärkommunal förvaltning","65+ år",24
"2425 Dorotea","2016","kommunalt ägda företag och organisationer","55-59 år",3
"2425 Dorotea","2016","kommunalt ägda företag och organisationer","60-64 år",2
"2425 Dorotea","2016","kommunalt ägda företag och organisationer","65+ år",1
"2425 Dorotea","2017","primärkommunal förvaltning","55-59 år",55
"2425 Dorotea","2017","primärkommunal förvaltning","60-64 år",49
"2425 Dorotea","2017","primärkommunal förvaltning","65+ år",19
"2425 Dorotea","2017","kommunalt ägda företag och organisationer","55-59 år",1
"2425 Dorotea","2017","kommunalt ägda företag och organisationer","60-64 år",3
"2425 Dorotea","2017","kommunalt ägda företag och organisationer","65+ år",1
"2460 Vännäs","2008","primärkommunal förvaltning","55-59 år",159
"2460 Vännäs","2008","primärkommunal förvaltning","60-64 år",139
"2460 Vännäs","2008","primärkommunal förvaltning","65+ år",31
"2460 Vännäs","2008","kommunalt ägda företag och organisationer","55-59 år",8
"2460 Vännäs","2008","kommunalt ägda företag och organisationer","60-64 år",2
"2460 Vännäs","2008","kommunalt ägda företag och organisationer","65+ år",0
"2460 Vännäs","2009","primärkommunal förvaltning","55-59 år",142
"2460 Vännäs","2009","primärkommunal förvaltning","60-64 år",130
"2460 Vännäs","2009","primärkommunal förvaltning","65+ år",35
"2460 Vännäs","2009","kommunalt ägda företag och organisationer","55-59 år",10
"2460 Vännäs","2009","kommunalt ägda företag och organisationer","60-64 år",1
"2460 Vännäs","2009","kommunalt ägda företag och organisationer","65+ år",1
"2460 Vännäs","2010","primärkommunal förvaltning","55-59 år",143
"2460 Vännäs","2010","primärkommunal förvaltning","60-64 år",131
"2460 Vännäs","2010","primärkommunal förvaltning","65+ år",31
"2460 Vännäs","2010","kommunalt ägda företag och organisationer","55-59 år",10
"2460 Vännäs","2010","kommunalt ägda företag och organisationer","60-64 år",4
"2460 Vännäs","2010","kommunalt ägda företag och organisationer","65+ år",0
"2460 Vännäs","2011","primärkommunal förvaltning","55-59 år",141
"2460 Vännäs","2011","primärkommunal förvaltning","60-64 år",137
"2460 Vännäs","2011","primärkommunal förvaltning","65+ år",22
"2460 Vännäs","2011","kommunalt ägda företag och organisationer","55-59 år",9
"2460 Vännäs","2011","kommunalt ägda företag och organisationer","60-64 år",6
"2460 Vännäs","2011","kommunalt ägda företag och organisationer","65+ år",3
"2460 Vännäs","2012","primärkommunal förvaltning","55-59 år",128
"2460 Vännäs","2012","primärkommunal förvaltning","60-64 år",132
"2460 Vännäs","2012","primärkommunal förvaltning","65+ år",30
"2460 Vännäs","2012","kommunalt ägda företag och organisationer","55-59 år",10
"2460 Vännäs","2012","kommunalt ägda företag och organisationer","60-64 år",7
"2460 Vännäs","2012","kommunalt ägda företag och organisationer","65+ år",3
"2460 Vännäs","2013","primärkommunal förvaltning","55-59 år",122
"2460 Vännäs","2013","primärkommunal förvaltning","60-64 år",132
"2460 Vännäs","2013","primärkommunal förvaltning","65+ år",33
"2460 Vännäs","2013","kommunalt ägda företag och organisationer","55-59 år",9
"2460 Vännäs","2013","kommunalt ägda företag och organisationer","60-64 år",9
"2460 Vännäs","2013","kommunalt ägda företag och organisationer","65+ år",0
"2460 Vännäs","2014","primärkommunal förvaltning","55-59 år",130
"2460 Vännäs","2014","primärkommunal förvaltning","60-64 år",126
"2460 Vännäs","2014","primärkommunal förvaltning","65+ år",37
"2460 Vännäs","2014","kommunalt ägda företag och organisationer","55-59 år",7
"2460 Vännäs","2014","kommunalt ägda företag och organisationer","60-64 år",11
"2460 Vännäs","2014","kommunalt ägda företag och organisationer","65+ år",0
"2460 Vännäs","2015","primärkommunal förvaltning","55-59 år",148
"2460 Vännäs","2015","primärkommunal förvaltning","60-64 år",121
"2460 Vännäs","2015","primärkommunal förvaltning","65+ år",40
"2460 Vännäs","2015","kommunalt ägda företag och organisationer","55-59 år",9
"2460 Vännäs","2015","kommunalt ägda företag och organisationer","60-64 år",9
"2460 Vännäs","2015","kommunalt ägda företag och organisationer","65+ år",4
"2460 Vännäs","2016","primärkommunal förvaltning","55-59 år",143
"2460 Vännäs","2016","primärkommunal förvaltning","60-64 år",129
"2460 Vännäs","2016","primärkommunal förvaltning","65+ år",41
"2460 Vännäs","2016","kommunalt ägda företag och organisationer","55-59 år",10
"2460 Vännäs","2016","kommunalt ägda företag och organisationer","60-64 år",8
"2460 Vännäs","2016","kommunalt ägda företag och organisationer","65+ år",2
"2460 Vännäs","2017","primärkommunal förvaltning","55-59 år",140
"2460 Vännäs","2017","primärkommunal förvaltning","60-64 år",121
"2460 Vännäs","2017","primärkommunal förvaltning","65+ år",41
"2460 Vännäs","2017","kommunalt ägda företag och organisationer","55-59 år",8
"2460 Vännäs","2017","kommunalt ägda företag och organisationer","60-64 år",7
"2460 Vännäs","2017","kommunalt ägda företag och organisationer","65+ år",1
"2462 Vilhelmina","2008","primärkommunal förvaltning","55-59 år",148
"2462 Vilhelmina","2008","primärkommunal förvaltning","60-64 år",104
"2462 Vilhelmina","2008","primärkommunal förvaltning","65+ år",22
"2462 Vilhelmina","2008","kommunalt ägda företag och organisationer","55-59 år",4
"2462 Vilhelmina","2008","kommunalt ägda företag och organisationer","60-64 år",2
"2462 Vilhelmina","2008","kommunalt ägda företag och organisationer","65+ år",0
"2462 Vilhelmina","2009","primärkommunal förvaltning","55-59 år",136
"2462 Vilhelmina","2009","primärkommunal förvaltning","60-64 år",102
"2462 Vilhelmina","2009","primärkommunal förvaltning","65+ år",26
"2462 Vilhelmina","2009","kommunalt ägda företag och organisationer","55-59 år",4
"2462 Vilhelmina","2009","kommunalt ägda företag och organisationer","60-64 år",2
"2462 Vilhelmina","2009","kommunalt ägda företag och organisationer","65+ år",0
"2462 Vilhelmina","2010","primärkommunal förvaltning","55-59 år",137
"2462 Vilhelmina","2010","primärkommunal förvaltning","60-64 år",105
"2462 Vilhelmina","2010","primärkommunal förvaltning","65+ år",28
"2462 Vilhelmina","2010","kommunalt ägda företag och organisationer","55-59 år",5
"2462 Vilhelmina","2010","kommunalt ägda företag och organisationer","60-64 år",2
"2462 Vilhelmina","2010","kommunalt ägda företag och organisationer","65+ år",0
"2462 Vilhelmina","2011","primärkommunal förvaltning","55-59 år",151
